city,day,mae_temp_c,mae_precip_mm
Cape Town,2025-08-26 00:00:00+00,3.7000000000000000,0.00000000000000000000
Cape Town,2025-08-25 00:00:00+00,2.8416666666666667,0.00000000000000000000
Cape Town,2025-08-24 00:00:00+00,2.5666666666666667,0.01666666666666666667
Cape Town,2025-08-23 00:00:00+00,1.2416666666666667,0.25416666666666666667
Cape Town,2025-08-22 00:00:00+00,0.93750000000000000000,0.20833333333333333333
Cape Town,2025-08-21 00:00:00+00,1.2458333333333333,0.11666666666666666667
Cape Town,2025-08-20 00:00:00+00,1.7583333333333333,0.13333333333333333333
Cape Town,2025-08-19 00:00:00+00,1.9708333333333333,0.23750000000000000000
Cape Town,2025-08-18 00:00:00+00,2.5416666666666667,0.00000000000000000000
Cape Town,2025-08-17 00:00:00+00,2.0083333333333333,0.00000000000000000000
Cape Town,2025-08-16 00:00:00+00,3.8000000000000000,0.00000000000000000000
Cape Town,2025-08-15 00:00:00+00,2.5541666666666667,0.03333333333333333333
Cape Town,2025-08-14 00:00:00+00,2.9875000000000000,0.00000000000000000000
Cape Town,2025-08-13 00:00:00+00,3.6583333333333333,0.00000000000000000000
Cape Town,2025-08-12 00:00:00+00,3.5125000000000000,0.00000000000000000000
Cape Town,2025-08-11 00:00:00+00,3.7083333333333333,0.00000000000000000000
Cape Town,2025-08-10 00:00:00+00,2.1083333333333333,0.02916666666666666667
Cape Town,2025-08-09 00:00:00+00,2.3500000000000000,0.40416666666666666667
Cape Town,2025-08-08 00:00:00+00,2.9666666666666667,0.00000000000000000000
Cape Town,2025-08-07 00:00:00+00,3.3000000000000000,0.03750000000000000000
Cape Town,2025-08-06 00:00:00+00,3.1916666666666667,0.04166666666666666667
Cape Town,2025-08-05 00:00:00+00,1.8250000000000000,0.60416666666666666667
Cape Town,2025-08-04 00:00:00+00,0.87083333333333333333,0.74166666666666666667
Cape Town,2025-08-03 00:00:00+00,2.0208333333333333,0.04166666666666666667
Cape Town,2025-08-02 00:00:00+00,4.6166666666666667,0.00000000000000000000
Cape Town,2025-08-01 00:00:00+00,3.9708333333333333,0.00000000000000000000
Cape Town,2025-07-31 00:00:00+00,1.9791666666666667,0.17916666666666666667
Cape Town,2025-07-30 00:00:00+00,1.0666666666666667,0.62916666666666666667
Cape Town,2025-07-29 00:00:00+00,3.7750000000000000,0.00833333333333333333
Cape Town,2025-07-28 00:00:00+00,3.9625000000000000,0.00000000000000000000
Cape Town,2025-07-27 00:00:00+00,3.0833333333333333,0.00000000000000000000
Cape Town,2025-07-26 00:00:00+00,2.3250000000000000,0.00000000000000000000
Cape Town,2025-07-25 00:00:00+00,2.4291666666666667,0.00833333333333333333
Cape Town,2025-07-24 00:00:00+00,1.5541666666666667,0.05000000000000000000
Cape Town,2025-07-23 00:00:00+00,3.3208333333333333,0.00000000000000000000
Cape Town,2025-07-22 00:00:00+00,3.1500000000000000,0.00000000000000000000
Cape Town,2025-07-21 00:00:00+00,3.4125000000000000,0.14166666666666666667
Cape Town,2025-07-20 00:00:00+00,4.8875000000000000,0.00000000000000000000
Cape Town,2025-07-19 00:00:00+00,5.0833333333333333,0.00000000000000000000
Cape Town,2025-07-18 00:00:00+00,3.3708333333333333,0.01250000000000000000
Cape Town,2025-07-17 00:00:00+00,2.4333333333333333,0.40000000000000000000
Cape Town,2025-07-16 00:00:00+00,2.8750000000000000,0.05000000000000000000
Cape Town,2025-07-15 00:00:00+00,3.7541666666666667,0.04166666666666666667
