generated_at,day,city,var,forecast_value,observed_value
2025-08-18T18:56:18Z,2025-08-08,Cape Town,temperature_2m,14.699999999999998,12.516666666666666
2025-08-18T18:56:18Z,2025-08-08,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-08-08,Cape Town,wind_speed_10m,4.2749999999999995,3.229166666666666
2025-08-18T18:56:18Z,2025-08-09,Cape Town,temperature_2m,14.362500000000004,12.012500000000001
2025-08-18T18:56:18Z,2025-08-09,Cape Town,precipitation,15.1,12.399999999999997
2025-08-18T18:56:18Z,2025-08-09,Cape Town,wind_speed_10m,34.22083333333334,17.45
2025-08-18T18:56:18Z,2025-08-10,Cape Town,temperature_2m,14.287500000000001,12.495833333333335
2025-08-18T18:56:18Z,2025-08-10,Cape Town,precipitation,1.5,1.4000000000000004
2025-08-18T18:56:18Z,2025-08-10,Cape Town,wind_speed_10m,18.770833333333332,8.029166666666667
2025-08-18T18:56:18Z,2025-08-11,Cape Town,temperature_2m,13.704166666666667,10.829166666666666
2025-08-18T18:56:18Z,2025-08-11,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-08-11,Cape Town,wind_speed_10m,9.775,4.904166666666667
2025-08-18T18:56:18Z,2025-08-12,Cape Town,temperature_2m,14.35416666666667,11.566666666666668
2025-08-18T18:56:18Z,2025-08-12,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-08-12,Cape Town,wind_speed_10m,5.887499999999999,3.6458333333333326
2025-08-18T18:56:18Z,2025-08-13,Cape Town,temperature_2m,13.691666666666668,10.491666666666665
2025-08-18T18:56:18Z,2025-08-13,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-08-13,Cape Town,wind_speed_10m,5.954166666666667,3.6375000000000006
2025-08-18T18:56:18Z,2025-08-14,Cape Town,temperature_2m,14.324999999999998,11.729166666666666
2025-08-18T18:56:18Z,2025-08-14,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-08-14,Cape Town,wind_speed_10m,7.495833333333334,3.545833333333334
2025-08-18T18:56:18Z,2025-08-15,Cape Town,temperature_2m,14.708333333333334,12.695833333333331
2025-08-18T18:56:18Z,2025-08-15,Cape Town,precipitation,0.30000000000000004,0.5
2025-08-18T18:56:18Z,2025-08-15,Cape Town,wind_speed_10m,8.754166666666665,4.695833333333334
2025-08-18T18:56:18Z,2025-08-16,Cape Town,temperature_2m,14.795833333333336,10.8
2025-08-18T18:56:18Z,2025-08-16,Cape Town,precipitation,5.1,0.0
2025-08-18T18:56:18Z,2025-08-16,Cape Town,wind_speed_10m,20.962499999999995,5.3
2025-08-18T18:56:18Z,2025-08-17,Cape Town,temperature_2m,15.133333333333331,14.35
2025-08-18T18:56:18Z,2025-08-17,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-08-17,Cape Town,wind_speed_10m,13.716666666666669,7.816666666666666
2025-08-18T18:56:18Z,2025-08-18,Cape Town,temperature_2m,15.3,9.0
2025-08-18T18:56:18Z,2025-08-18,Cape Town,precipitation,0.0,0.0
2025-08-18T18:56:18Z,2025-08-18,Cape Town,wind_speed_10m,1.8,3.0
